pc,count
0x8022ac,1
0x80230c,1
0x802310,1
0x802314,1
0x802318,1
0x80231c,1
0x80248c,1
0x802490,1
0x80249c,1
0x8024a0,1
0x8024b4,1
0x8024b8,1
0x8024bc,1
0x8024c0,1
0x8024c4,1
0x8024c8,1
0x8024cc,1
0x8024d0,1
0x8024d4,1
0x8024d8,1
0x8024dc,1
0x8024e0,1
0x8024e4,1
0x8024ec,1
0x8024f0,1
0x8024f4,1
0x8024f8,1
0x8024fc,1
0x802500,1
0x80250c,2
0x802510,2
0x802514,2
0x802518,1
0x80251c,1
0x802520,5
0x802524,5
0x802548,5
0x80254c,5
0x802550,5
0x802554,5
0x802558,5
0x802588,5
0x80258c,5
0x802590,5
0x802594,5
0x802598,5
0x8025a8,5
0x8025ac,5
0x8025dc,5
0x8025e0,5
0x8025e4,5
0x8025e8,5
0x8025ec,5
0x8025f0,5
0x8025f4,5
0x8025f8,3
0x8025fc,3
0x802600,3
0x80263c,3
0x802640,3
0x802644,3
0x802648,3
0x80264c,3
0x802650,3
0x802654,3
0x802658,3
0x80265c,3
0x802660,3
0x802664,3
0x802668,3
0x80266c,3
0x802670,3
0x802674,3
0x802678,3
0x80267c,3
0x80268c,2
0x802690,2
0x802694,5
0x802698,5
0x80269c,5
0x8026b0,18
0x8026b4,18
0x8026b8,18
0x8026bc,18
0x8026c0,18
0x8026c4,18
0x8026c8,18
0x8026cc,18
0x8026d0,18
0x8026d4,18
0x8026d8,18
0x8026dc,18
0x8026e0,18
0x8026e4,18
0x8026e8,18
0x8026ec,18
0x8026f0,18
0x8026f4,18
0x8026f8,18
0x8026fc,18
0x802700,18
0x802704,18
0x802708,18
0x80270c,18
0x802710,18
0x802714,18
0x802718,18
0x80271c,18
0x802720,18
0x802724,18
0x802728,2
0x80272c,2
0x802730,2
0x802734,2
0x802738,2
0x80273c,2
0x802740,2
0x802744,2
0x802748,2
0x80274c,2
0x802750,2
0x802754,16
0x802758,18
0x80275c,18
0x802760,18
0x802764,18
0x802768,18
0x80276c,18
0x802770,18
0x802774,16
0x802778,16
0x80277c,16
0x802780,16
0x802784,16
0x802788,16
0x80278c,16
0x802790,16
0x802794,16
0x802798,16
0x80279c,16
0x8027a0,16
0x8027a4,16
0x8027a8,16
0x8027ac,16
0x8027b0,16
0x8027b4,16
0x8027b8,16
0x8027bc,16
0x8027c0,16
0x8027c4,16
0x8027c8,16
0x8027cc,16
0x8027d0,16
0x8027d8,2
0x8027dc,2
0x802834,2
0x802838,2
0x802850,16
0x802854,16
0x802858,16
0x80285c,16
0x802860,16
0x802864,16
0x802868,16
0x80286c,16
0x802870,16
0x802874,16
0x802878,16
0x80287c,16
0x802880,16
0x802884,16
0x802888,16
0x80288c,16
0x802890,16
0x802894,16
0x802898,16
0x80289c,16
0x8028a0,131
0x8028a4,131
0x8028a8,2
0x8028ac,2
0x8028b0,2
0x8028b4,2
0x8028b8,2
0x8028bc,2
0x8028c0,2
0x8028c4,2
0x8028c8,2
0x8028cc,2
0x8028d0,2
0x8028d4,129
0x8028d8,131
0x8028dc,131
0x8028e0,131
0x8028e4,131
0x8028e8,131
0x8028ec,131
0x8028f0,131
0x8028f4,131
0x8028f8,131
0x8028fc,131
0x802900,131
0x802904,131
0x802908,131
0x80290c,131
0x802910,95
0x802914,95
0x802918,95
0x80291c,95
0x802920,95
0x802924,95
0x802928,95
0x80292c,95
0x802930,95
0x802934,95
0x802938,116
0x80293c,116
0x802940,116
0x802944,1
0x802978,2
0x80297c,2
0x802980,2
0x802984,2
0x802988,2
0x80298c,2
0x802990,2
0x802994,2
0x802998,2
0x80299c,2
0x8029a0,2
0x8029a4,2
0x8029a8,2
0x8029ac,2
0x8029b0,2
0x8029b4,2
0x8029b8,2
0x8029bc,2
0x8029c0,2
0x8029c4,2
0x8029c8,2
0x8029cc,2
0x8029d0,2
0x8029d4,2
0x8029d8,2
0x8029dc,2
0x8029e0,2
0x8029e4,2
0x8029e8,2
0x8029ec,2
0x8029f0,2
0x8029f4,2
0x8029f8,2
0x8029fc,2
0x802a00,2
0x802a04,2
0x802a08,2
0x802a0c,2
0x802a10,2
0x802a14,2
0x802a18,2
0x802a1c,2
0x802a20,2
0x802a24,2
0x802a28,2
0x802a2c,2
0x802a34,2
0x802a38,2
0x802a3c,2
0x802a40,2
0x802a44,2
0x802a48,2
0x802a4c,2
0x802a50,2
0x802a54,2
0x802a58,2
0x802a5c,2
0x802a60,2
0x802a64,2
0x802a68,2
0x802a6c,2
0x802a70,2
0x802a74,2
0x802a78,2
0x802a7c,2
0x802a80,2
0x802a88,2
0x802a8c,2
0x802a90,2
0x802a94,2
0x802a98,2
0x802a9c,2
0x802aa0,4
0x802adc,4
0x802ae0,4
0x802ae4,4
0x802ae8,4
0x802aec,4
0x802af0,4
0x802af4,4
0x802af8,4
0x802afc,4
