pc,count
0x801340,1
0x801344,1
0x801348,1
0x80134c,1
0x801350,1
0x801354,1
0x801358,1
0x80135c,1
0x801360,1
0x801364,1
0x801368,1
0x80136c,1
0x801370,1
0x801374,1
0x801378,1
0x80137c,1
0x801380,1
0x801384,1
0x801388,1
0x80138c,1
0x801390,1
0x801394,1
0x801398,1
0x80139c,1
0x8013a0,1
0x8013a4,1
0x8013a8,1
0x8013ac,1
0x8013b0,1
0x8013d8,1
0x8013dc,1
0x8013e0,1
0x8013e4,1
0x8013e8,1
0x8013ec,1
0x8013f0,1
0x8013f4,1
0x8013f8,1
0x8013fc,1
0x801400,1
0x801404,1
0x801410,1
0x801414,1
0x801418,1
0x80141c,1
0x80146c,1
0x801470,1
0x801474,1
0x801478,1
0x80147c,1
0x801480,1
0x801484,1
0x801488,1
0x80148c,1
0x801490,1
0x801494,1
0x801498,1
0x80149c,1
0x8014a0,1
0x8014a4,1
0x8014a8,1
0x8014ac,1
0x8014b0,1
0x8014b4,1
0x8014b8,1
0x8014bc,1
0x8014c0,1
0x8014c4,1
0x8014c8,1
0x8014cc,1
0x8014d0,1
0x8014d4,1
0x8014d8,1
0x8014dc,1
0x8014e0,1
0x8014e4,1
0x8014e8,1
0x8014ec,1
0x8014f0,1
0x8014f4,1
0x8014f8,1
0x8014fc,1
0x801500,1
0x801504,1
0x801508,1
0x80150c,1
0x801510,1
0x801514,1
0x801518,1
0x80151c,1
0x801520,1
0x801524,1
0x801528,1
0x80152c,1
0x801530,1
0x801534,1
0x801538,3
0x80153c,3
0x801540,3
0x801544,3
0x801548,3
0x80154c,3
0x801550,3
0x801554,3
0x801558,3
0x80155c,3
0x801560,3
0x801564,3
0x801568,3
0x80156c,3
0x801570,3
0x801574,3
0x801578,3
0x80157c,3
0x801580,3
0x801584,3
0x801588,3
0x80158c,3
0x801590,3
0x8015f0,3
0x80163c,3
0x801640,3
0x801644,3
0x801648,3
0x80164c,3
0x801650,3
0x801654,3
0x801658,3
0x80165c,3
0x801660,3
0x8017b8,3
0x8017bc,3
0x8017c0,3
0x8017c4,3
0x8017c8,3
0x8017cc,3
0x8017d0,3
0x8017d4,3
0x8017d8,3
0x8017dc,3
0x8017e0,3
0x8017e4,3
0x8017e8,3
0x8017ec,3
0x8017f0,3
0x8017f4,3
0x8017f8,3
0x8017fc,3
0x801800,2
0x801804,2
0x801808,2
0x80180c,2
0x801810,2
0x801814,2
0x801818,2
0x80181c,2
0x8018b0,3
0x8018b4,3
0x8018c0,3
0x8018c4,3
0x8018c8,3
0x8018cc,3
0x8018d0,3
0x8018d4,1
0x8018d8,1
0x8018e0,1
0x8018e4,1
0x8018e8,1
0x8018ec,1
0x8018f0,1
0x8018f4,1
0x8018f8,1
0x8018fc,1
0x801900,1
0x801904,1
0x801908,1
0x801998,2
0x80199c,2
0x8019a4,2
0x8019a8,2
0x8019ac,2
0x8019b4,1
0x8019b8,1
0x8019bc,1
0x8019c0,1
0x8019c4,1
0x8019c8,1
0x8019cc,1
0x8019d0,1
0x8019d4,1
0x8019d8,1
0x8019dc,1
0x8019e0,1
0x8019e4,1
0x8019e8,1
0x8019ec,1
0x8019f0,1
0x8019f4,1
0x8019f8,1
0x8019fc,1
0x801a00,1
0x801a04,1
0x801a08,1
0x801a0c,1
0x801b94,2
0x801b98,2
0x801b9c,2
0x801ba0,2
0x801ba4,2
0x801ba8,2
0x801bac,2
0x801bb0,2
0x801bb4,2
0x801bb8,2
0x801bbc,2
0x801bc0,2
0x801bc4,2
0x801bc8,2
0x801bcc,2
0x801bd0,2
0x801bd4,2
0x801bd8,2
0x801bdc,2
0x801be0,2
0x801be4,2
0x801be8,2
0x801bec,2
0x801bf0,2
0x801bf4,2
0x801bf8,2
0x801bfc,2
0x801c00,2
0x801c04,2
0x801c08,2
0x801c0c,2
0x801c10,2
0x801c14,2
0x801c18,2
0x801c1c,2
0x801c20,2
0x801c24,2
0x801c28,1
0x801c2c,1
0x801c30,1
0x801c34,1
0x801c38,1
0x801c3c,1
0x801c40,1
0x801c44,1
0x801c48,1
0x801c68,4
0x801c6c,4
0x801c70,4
0x801c74,4
0x801c78,4
0x801c7c,4
0x801c80,4
0x801c84,4
0x801c88,4
0x801c8c,4
0x801c90,4
0x801c94,4
0x801c98,4
0x801c9c,4
0x801ca0,4
0x801ca4,4
0x801ca8,4
0x801cac,4
0x801cb0,1
0x801cb4,1
0x801cb8,1
0x801cbc,1
0x801d7c,1
0x801d80,1
0x801d84,1
0x801d88,1
0x801d8c,1
0x801d90,1
0x801d94,1
0x801d98,1
0x802a34,1
0x802a38,1
0x802a3c,1
0x802a40,1
0x802a44,1
0x802a48,1
0x802a4c,1
0x802a50,1
0x802a54,1
0x802a58,1
0x802a5c,1
0x802a60,3
0x802a64,3
0x802a68,3
0x802a6c,3
0x802a84,1
0x802a88,1
0x802a8c,1
0x802a90,1
0x802a94,1
0x802a98,1
0x802a9c,1
0x802aa0,1
0x802aa8,1
0x802aac,1
0x802ab0,1
0x802ab4,1
0x802ab8,1
0x802abc,1
0x802ac0,1
0x802ac4,1
0x802ac8,1
0x802acc,1
0x802ad0,1
0x802ad4,1
0x802ad8,1
0x802adc,1
0x802ae0,1
0x802ae4,1
0x802ae8,1
0x802aec,3
0x802af0,3
0x802af4,3
0x802af8,3
0x802afc,3
0x802b00,3
0x802b04,3
0x802b08,3
0x802b0c,3
0x802b10,3
0x802b14,3
