era,arm,chunk,raw,compressed,ctx_bytes
2025-09-25_busy,prefix-512KiB+dict-2025,8,1048576,133721,589824
2025-09-25_busy,prefix-512KiB+dict-2025,9,1048576,136702,589824
2025-09-25_busy,prefix-512KiB+dict-2025,10,1048576,127521,589824
2025-09-25_busy,prefix-512KiB+dict-2025,11,1048576,139551,589824
2025-09-25_busy,prefix-512KiB+dict-2025,12,1048576,147350,589824
2025-09-25_busy,prefix-512KiB+dict-2025,13,1048576,142137,589824
2026-04-28_quiet,none,0,1048576,278024,0
2026-04-28_quiet,none,1,1048576,252559,0
2026-04-28_quiet,none,2,1048576,256070,0
2026-04-28_quiet,none,3,1048576,248658,0
2026-04-28_quiet,none,4,1048576,268690,0
2026-04-28_quiet,none,5,1048576,272496,0
2026-04-28_quiet,none,6,1048576,262938,0
2026-04-28_quiet,none,7,1048576,267701,0
2026-04-28_quiet,none,8,1048576,248395,0
2026-04-28_quiet,none,9,1048576,226049,0
2026-04-28_quiet,none,10,1048576,230337,0
2026-04-28_quiet,none,11,1048576,228475,0
2026-04-28_quiet,none,12,1048576,244680,0
2026-04-28_quiet,none,13,1048576,170919,0
2026-04-28_quiet,dict-2025,0,1048576,276043,65536
2026-04-28_quiet,dict-2025,1,1048576,250622,65536
2026-04-28_quiet,dict-2025,2,1048576,253410,65536
2026-04-28_quiet,dict-2025,3,1048576,245013,65536
2026-04-28_quiet,dict-2025,4,1048576,266359,65536
2026-04-28_quiet,dict-2025,5,1048576,269893,65536
2026-04-28_quiet,dict-2025,6,1048576,260107,65536
2026-04-28_quiet,dict-2025,7,1048576,265376,65536
2026-04-28_quiet,dict-2025,8,1048576,245326,65536
2026-04-28_quiet,dict-2025,9,1048576,223014,65536
2026-04-28_quiet,dict-2025,10,1048576,227991,65536
2026-04-28_quiet,dict-2025,11,1048576,225122,65536
2026-04-28_quiet,dict-2025,12,1048576,242317,65536
2026-04-28_quiet,dict-2025,13,1048576,167948,65536
2026-04-28_quiet,dict-fresh,0,1048576,273031,65536
2026-04-28_quiet,dict-fresh,1,1048576,245123,65536
2026-04-28_quiet,dict-fresh,2,1048576,249370,65536
2026-04-28_quiet,dict-fresh,3,1048576,241201,65536
2026-04-28_quiet,dict-fresh,4,1048576,262787,65536
2026-04-28_quiet,dict-fresh,5,1048576,266852,65536
2026-04-28_quiet,dict-fresh,6,1048576,256580,65536
2026-04-28_quiet,dict-fresh,7,1048576,260481,65536
2026-04-28_quiet,dict-fresh,8,1048576,240579,65536
2026-04-28_quiet,dict-fresh,9,1048576,218855,65536
2026-04-28_quiet,dict-fresh,10,1048576,223904,65536
2026-04-28_quiet,dict-fresh,11,1048576,221193,65536
2026-04-28_quiet,dict-fresh,12,1048576,238041,65536
2026-04-28_quiet,dict-fresh,13,1048576,164686,65536
2026-04-28_quiet,prefix-2MiB,0,1048576,278024,0
2026-04-28_quiet,prefix-2MiB,1,1048576,232288,1048576
2026-04-28_quiet,prefix-2MiB,2,1048576,232047,2097152
2026-04-28_quiet,prefix-2MiB,3,1048576,225144,2097152
2026-04-28_quiet,prefix-2MiB,4,1048576,246865,2097152
2026-04-28_quiet,prefix-2MiB,5,1048576,248670,2097152
2026-04-28_quiet,prefix-2MiB,6,1048576,238844,2097152
2026-04-28_quiet,prefix-2MiB,7,1048576,243125,2097152
2026-04-28_quiet,prefix-2MiB,8,1048576,212350,2097152
2026-04-28_quiet,prefix-2MiB,9,1048576,198680,2097152
2026-04-28_quiet,prefix-2MiB,10,1048576,206734,2097152
2026-04-28_quiet,prefix-2MiB,11,1048576,200950,2097152
2026-04-28_quiet,prefix-2MiB,12,1048576,220770,2097152
2026-04-28_quiet,prefix-2MiB,13,1048576,148666,2097152
2026-04-28_quiet,prefix-1MiB,0,1048576,278024,0
2026-04-28_quiet,prefix-1MiB,1,1048576,232288,1048576
2026-04-28_quiet,prefix-1MiB,2,1048576,235558,1048576
2026-04-28_quiet,prefix-1MiB,3,1048576,228743,1048576
